Артикул;Наименование;ID страницы;Цена;На складе;Описание;Краткое описание;Фотография
;ДВП,ДСП,Фанера;dvp,dsp,fanera-2607668
14868;ДВП Т гр. А (2745х1220х3,2);dvp-t-gr.-a-(2745h1220h3,2)-2992390;119.00;886.0000;ДВП Т гр. А (2745х1220х3,2)Плиты ДВП изготавливают из древесины, отходов деревообрабатывающей и лесопильной промышленности, бумажной макулатуры. При изготовлении плит ДВП, расщепляется древесный материал, а затем спрессовывается в плиты и сушится. ДВП плиты бывают полутвердыми, твердыми, сверхтвердыми, изоляционными и изоляционно-отделочными.Используются плиты ДВП при производстве мебели и встроенных шкафов, в автомобильной промышленности, а также при производстве тары, благодаря повышенной прочности и водостойкости. При устройстве полов плиты ДВП незаменимы в качестве подкладочного слоя под все виды покрытия, в том числе дощатого и щитового паркета, синтетических покрытий и линолеумов.;твердая;enl_2992390_63385260751218.jpg thm_2992390_63385260751218.jpg 2992390_63385260751218.jpg enl_2992390_63385260757234.jpg thm_2992390_63385260757234.jpg 2992390_63385260757234.jpg ;
47306;Плита древесная OSB-3 1220*2440* 9mm;plita-drevesnaya-osb-3-1220*2440*-9mm-3073052;439.00;288.0000;Плита древесная OSB-3 1220*2440* 9,5 mmкласс ОСП - 3 - высокой прочности влагостойкийOSB-3 (Orient Strand Board, в переводе - плита с ориентированной плоской стружкой) является продуктом древесного происхождения, образованным прессованием прямоугольных плоских щеп в условиях высокого давления и температуры, с использованием склеивающей фенолоформальдегидной водостойкой смолы и добавлением синтетического воска для повышения качества поверхности.Для изготовления OSB-3 используется тонкомерная и неделовая древесина хвойных пород, быстрый рост которых обеспечивает получение недорогого сырья. Применяемая в плитах стружка имеет толщину 0.5...0.9 мм длину до 180 мм и ширину - 6...40 мм. Применение смол, состоящих из собственно смолы, наполнителя и отвердителя, позволяет производить экологически безопасную строительную плиту, поскольку процесс полимеризации окончательно завершается через несколько месяцев после прессования, и эмиссия формальдегидов, по истечении этого времени, не обнаруживается существующими измерительными приборами. OSB-3 не подвержена гниению и поражению насекомыми.Данный материал хорошо сочетает качественные характеристики дерева и удобство технологического применения, присущее всем плитным материалам. К несомненным достоинствам плит OSB-3 относится достаточно высокая прочность, а также то, что, несмотря на то, что данный продукт не является цельным деревом, он сохраняет все его эстетические потребительские качества: имеет такой же цвет, что и цельная древесина, красивую структуру. Плиты OSB-3 отвечают самым жестким современным требованиям, предъявляемым к древесным плитным материалам, и плюс к этому лишены недостатков, присущих натуральной древесине и даже фанере - расслоение, гигроскопичность и коробление, внутренние пустоты и трещины, выпавшие сучки и др.;класс ОСП - 3 - высокой прочности влагостойкий;enl_3073052_63385257507359.jpg thm_3073052_63385257507359.jpg 3073052_63385257507359.jpg enl_3073052_63385257512468.jpg thm_3073052_63385257512468.jpg 3073052_63385257512468.jpg ;
49404;Плита древесная OSB-3 1220*2440*12 mm;plita-drevesnaya-osb-3-1220*2440*12-mm-3077252;650.00;302.0000;Плита древесная OSB-3 1220*2440*12mmкласс ОСП - 3 - высокой прочности влагостойкийOSB-3 (Orient Strand Board, в переводе - плита с ориентированной плоской стружкой) является продуктом древесного происхождения, образованным прессованием прямоугольных плоских щеп в условиях высокого давления и температуры, с использованием склеивающей фенолоформальдегидной водостойкой смолы и добавлением синтетического воска для повышения качества поверхности.Для изготовления OSB-3 используется тонкомерная и неделовая древесина хвойных пород, быстрый рост которых обеспечивает получение недорогого сырья. Применяемая в плитах стружка имеет толщину 0.5...0.9 мм длину до 180 мм и ширину - 6...40 мм. Применение смол, состоящих из собственно смолы, наполнителя и отвердителя, позволяет производить экологически безопасную строительную плиту, поскольку процесс полимеризации окончательно завершается через несколько месяцев после прессования, и эмиссия формальдегидов, по истечении этого времени, не обнаруживается существующими измерительными приборами. OSB-3 не подвержена гниению и поражению насекомыми.Данный материал хорошо сочетает качественные характеристики дерева и удобство технологического применения, присущее всем плитным материалам. К несомненным достоинствам плит OSB-3 относится достаточно высокая прочность, а также то, что, несмотря на то, что данный продукт не является цельным деревом, он сохраняет все его эстетические потребительские качества: имеет такой же цвет, что и цельная древесина, красивую структуру. Плиты OSB-3 отвечают самым жестким современным требованиям, предъявляемым к древесным плитным материалам, и плюс к этому лишены недостатков, присущих натуральной древесине и даже фанере - расслоение, гигроскопичность и коробление, внутренние пустоты и трещины, выпавшие сучки и др.;класс ОСП - 3 - высокой прочности влагостойкий;enl_3077252_63385257627687.jpg thm_3077252_63385257627687.jpg 3077252_63385257627687.jpg enl_3077252_63385257630796.jpg thm_3077252_63385257630796.jpg 3077252_63385257630796.jpg ;
496792;ДСП шлифов (2750*1830*16мм / 5.0325 кв.м.);dsp-shlifov-(2750*1830*16mm-/-5.0325-kv.m.)-3062206;480.00;118.0000;ДСП шлифов (2750*1830*16мм / 5.0325 кв.м.марка П-А, Класс эмиссии Е1Одним из основных достоинств ДСП является прочность, которая у ДСП ни чуть не хуже прочности натуральной древесины. Ещё одним достоинством шлифованного ДСП является легкость обработки, несмотря на большую плотность. Сферы применения ДСП:- обшивка стен и крыш- изготовление стеновых панелей- изготовление полов, оснований под ковровые и линолеумные покрытия, перегородок- изготовление съемной опалубки- изготовление мебели, стеллажей, полок, упаковки- строительство ограждений и разборных конструкций- использование для декорирования и отделки, благодаря оригинальной текстуре поверхности.;марка П-А, Класс эмиссии Е1;enl_3062206_63385320204937.jpg thm_3062206_63385320204937.jpg 3062206_63385320204937.jpg enl_3062206_63385320211687.jpg thm_3062206_63385320211687.jpg 3062206_63385320211687.jpg enl_3062206_63385320248859.jpg thm_3062206_63385320248859.jpg 3062206_63385320248859.jpg enl_3062206_63385320604140.jpg thm_3062206_63385320604140.jpg 3062206_63385320604140.jpg ;
3087;Фанера ФК4/410 мм 1525х1525;fanera-fk4/410-mm-1525h1525-200121042;365.00;69.0000;Фанера ФК 4/4 10 мм 1525х1525сорт 4/4строительство (мостики обслуживания и погрузочные площадки, хозяйственные постройки и сооружения, оградительные сооружения и заборы, сельскохозяйственные постройки, основа под кровельные материалы, перегородки, двери, строительные леса, настил под полы, опалубка) оформление интерьера и экстерьера (звукоизолирующие панели, лекционные аудитории, концертные залы, стеновые панели, подоконники, двери, оформление фасада, ворота и изгородь) детская мебель и оборудование игровых площадок (детская мебель (столы, стулья, скамейки, шкафы и др.), оборудование детских и игровых площадок, спортивные и игровые площадки (хоккейные площадки, скаты для скейт-бордов, снежные горки, места для зрителей на спортивных площадках, скамейки, бортики, настилы под полы), школьная мебель, детские игрушки, детские горки);;enl_200121042_63385255045281.jpg thm_200121042_63385255045281.jpg 200121042_63385255045281.jpg ;
3417;Фанера ФК4/412 мм 1525х1525;fanera-fk4/412-mm-1525h1525-200121696;420.00;30.0000;Фанера ФК 4/4 12 мм 1525х1525сорт 4/4строительство (мостики обслуживания и погрузочные площадки, хозяйственные постройки и сооружения, оградительные сооружения и заборы, сельскохозяйственные постройки, основа под кровельные материалы, перегородки, двери, строительные леса, настил под полы, опалубка) оформление интерьера и экстерьера (звукоизолирующие панели, лекционные аудитории, концертные залы, стеновые панели, подоконники, двери, оформление фасада, ворота и изгородь) детская мебель и оборудование игровых площадок (детская мебель (столы, стулья, скамейки, шкафы и др.), оборудование детских и игровых площадок, спортивные и игровые площадки (хоккейные площадки, скаты для скейт-бордов, снежные горки, места для зрителей на спортивных площадках, скамейки, бортики, настилы под полы), школьная мебель, детские игрушки, детские горки);фанера , сорт 4/4;enl_200121696_63385255054000.jpg thm_200121696_63385255054000.jpg 200121696_63385255054000.jpg ;
3046;Фанера ФК4/404 мм 1525х1525;fanera-fk4/404-mm-1525h1525-200120960;170.00;84.0000;Фанера ФК 4/4 04 мм 1525х1525сорт 4/4строительство (мостики обслуживания и погрузочные площадки, хозяйственные постройки и сооружения, оградительные сооружения и заборы, сельскохозяйственные постройки, основа под кровельные материалы, перегородки, двери, строительные леса, настил под полы, опалубка) оформление интерьера и экстерьера (звукоизолирующие панели, лекционные аудитории, концертные залы, стеновые панели, подоконники, двери, оформление фасада, ворота и изгородь) детская мебель и оборудование игровых площадок (детская мебель (столы, стулья, скамейки, шкафы и др.), оборудование детских и игровых площадок, спортивные и игровые площадки (хоккейные площадки, скаты для скейт-бордов, снежные горки, места для зрителей на спортивных площадках, скамейки, бортики, настилы под полы), школьная мебель, детские игрушки, детские горки);фанера , сорт 4/4;enl_200120960_63385255014421.jpg thm_200120960_63385255014421.jpg 200120960_63385255014421.jpg ;
3086;Фанера ФК4/406 мм 1525х1525;fanera-fk4/406-mm-1525h1525-200121040;235.00;198.0000;Фанера ФК 4/4 06 мм 1525х1525сорт 4/4строительство (мостики обслуживания и погрузочные площадки, хозяйственные постройки и сооружения, оградительные сооружения и заборы, сельскохозяйственные постройки, основа под кровельные материалы, перегородки, двери, строительные леса, настил под полы, опалубка) оформление интерьера и экстерьера (звукоизолирующие панели, лекционные аудитории, концертные залы, стеновые панели, подоконники, двери, оформление фасада, ворота и изгородь) детская мебель и оборудование игровых площадок (детская мебель (столы, стулья, скамейки, шкафы и др.), оборудование детских и игровых площадок, спортивные и игровые площадки (хоккейные площадки, скаты для скейт-бордов, снежные горки, места для зрителей на спортивных площадках, скамейки, бортики, настилы под полы), школьная мебель, детские игрушки, детские горки);;enl_200121040_63385255028078.jpg thm_200121040_63385255028078.jpg 200121040_63385255028078.jpg ;
3416;Фанера ФК4/408 мм 1525х1525;fanera-fk4/408-mm-1525h1525-200121694;299.00;64.0000;Фанера ФК 4/4 08 мм 1525х1525сорт 4/4строительство (мостики обслуживания и погрузочные площадки, хозяйственные постройки и сооружения, оградительные сооружения и заборы, сельскохозяйственные постройки, основа под кровельные материалы, перегородки, двери, строительные леса, настил под полы, опалубка) оформление интерьера и экстерьера (звукоизолирующие панели, лекционные аудитории, концертные залы, стеновые панели, подоконники, двери, оформление фасада, ворота и изгородь) детская мебель и оборудование игровых площадок (детская мебель (столы, стулья, скамейки, шкафы и др.), оборудование детских и игровых площадок, спортивные и игровые площадки (хоккейные площадки, скаты для скейт-бордов, снежные горки, места для зрителей на спортивных площадках, скамейки, бортики, настилы под полы), школьная мебель, детские игрушки, детские горки);фанера сорт 4/4;enl_200121694_63385255036984.jpg thm_200121694_63385255036984.jpg 200121694_63385255036984.jpg ;
;Доски подоконные;doski-podokonnye-2607670
